2834	41.0
2843	67.0
2846	18.0
2851	34.0
2858	44.0
2863	31.0
2867	25.0
2868	6.0
2873	31.0
2876	17.0
2883	47.0
2887	26.0
2891	26.0
2896	31.0
2901	36.0
2904	17.0
2906	7.0
2909	19.0
2912	18.0
2918	42.0
2924	42.0
2931	47.0
2941	172.0
2944	18.0
2950	40.0
2953	19.0
2955	7.0
2963	56.0
2973	172.0
2978	30.0
2988	171.0
2991	18.0
2994	18.0
2997	18.0
3002	37.0
3006	25.0
3011	36.0
3016	31.0
3022	42.0
3028	41.0
3035	49.0
3042	46.0
3048	42.0
3051	17.0
3054	17.0
3057	20.0
3059	5.0
3068	62.0
3070	5.0
3079	63.0
3083	24.0
3093	172.0
3098	31.0
3103	36.0
3109	41.0
3115	40.0
3119	25.0
3122	17.0
3125	18.0
3134	65.0
3144	170.0
3149	36.0
3151	7.0
3155	25.0
3162	45.0
3167	36.0
3177	170.0
3179	7.0
3186	50.0
3188	7.0
3194	41.0
3200	41.0
3207	45.0
3211	26.0
3218	50.0
3221	17.0
3224	17.0
3229	29.0
3233	26.0
3236	18.0
3238	7.0
3244	41.0
3248	26.0
3250	7.0
3255	31.0
3258	18.0
3265	46.0
3270	30.0
3280	170.0
3284	25.0
3287	17.0
3292	31.0
3295	18.0
3298	18.0
3300	6.0
3306	38.0
3308	5.0
3314	38.0
3317	18.0
3320	19.0
3325	32.0
3328	18.0
3335	45.0
3342	49.0
3347	31.0
3350	18.0
3360	171.0
3362	7.0
3365	18.0
3372	51.0
3379	46.0
3386	48.0
3394	55.0
3397	18.0
3405	58.0
3407	6.0
3409	7.0
3419	172.0
3424	36.0
3428	25.0
3437	62.0
3441	23.0
3449	53.0
3459	172.0
3462	18.0
3470	58.0
3476	40.0
3479	18.0
3482	17.0
3488	41.0
3491	18.0
3493	8.0
3497	26.0
3501	24.0
3504	18.0
3508	34.0
3511	18.0
3513	7.0
3515	7.0
3519	26.0
3521	7.0
3528	45.0
3535	46.0
3544	66.0
3553	60.0
3555	6.0
3563	57.0
3569	41.0
3572	17.0
3575	18.0
3582	49.0
3591	63.0
3594	30.0
3598	25.0
3604	44.0
3610	43.0
3618	55.0
3624	41.0
3629	35.0
3635	39.0
3638	18.0
3648	172.0
3651	19.0
3659	58.0
3666	46.0
3669	18.0
3677	60.0
3679	6.0
3682	18.0
3690	59.0
3693	18.0
3696	18.0
3702	42.0
3706	25.0
3708	6.0
3710	7.0
3714	25.0
3716	7.0
3718	7.0
3728	72.0
3734	37.0
3739	36.0
3743	25.0
3747	25.0
3749	6.0
3751	7.0
3761	171.0
3769	59.0
3779	173.0
3781	7.0
3783	7.0
3788	35.0
3792	26.0
3797	36.0
3799	7.0
3802	18.0
3809	47.0
3818	65.0
3823	31.0
3833	171.0
3835	7.0
3840	31.0
3846	40.0
3854	53.0
3860	41.0
3862	6.0
3868	41.0
3870	7.0
3877	46.0
3879	6.0
3881	7.0
3886	36.0
3888	7.0
3894	41.0
3896	6.0
3900	25.0
3903	17.0
3912	63.0
3915	18.0
3918	18.0
3920	7.0
3922	7.0
3925	18.0
3929	25.0
3934	30.0
3942	55.0
3946	26.0
3950	25.0
3955	29.0
3961	39.0
3969	58.0
3972	18.0
3976	25.0
3980	25.0
3985	34.0
3995	171.0
3997	7.0
4006	62.0
4011	31.0
4021	171.0
4023	7.0
4025	7.0
4028	18.0
4030	7.0
4033	18.0
4036	18.0
4041	31.0
4046	30.0
4051	31.0
4054	18.0
4058	25.0
4067	61.0
4077	173.0
4081	25.0
4086	32.0
4090	25.0
4092	7.0
4094	7.0
4099	31.0
4104	30.0
4107	19.0
4115	59.0
4117	6.0
4121	25.0
4127	41.0
4133	44.0
4135	8.0
4142	50.0
4148	41.0
